*name; short_name;description;latitude;longitude;elevation;type;type_name;country;icao;frequency;rwy_landable;rwy_lenght;rwy_direc;rwy_surface;rwy_surface_name;rwy_bidirectional
KRUEN           *FLD0;KRUE"N;;47.31'000"N;011.16'000"E;900;2816;Auﬂenlandefeld;1060;;1  .  0;0;500;90;3;Gras;1
Kamen-Heeren;KamnHr;;51.35'383"N;007.42'533"E;62;1792;Segelfluggel‰nde;1060;;129.975;1;0;0;5;Belag unbekannt;1
Kamenz;Kamenz;;51.17'830"N;014.07'770"E;151;768;Sonderlandeplatz;1060;EDCM;122.050;1;1100;210;0;Beton;1
Kamp-Lintfort;KampLn;;51.31'700"N;006.32'220"E;27;768;Sonderlandeplatz;1060;EDLC;123.000;1;600;250;3;Gras;1
Karlshoefen;Karlsh;;53.20'050"N;009.01'730"E;6;768;Sonderlandeplatz;1060;EDWK;118.925;1;700;300;1;Asphalt;1
Karlsruhe-Forchheim;Karlsr;;48.58'850"N;008.19'920"E;116;768;Sonderlandeplatz;1060;EDTK;125.700;1;800;210;3;Gras;1
Karlsruhe/Baden-Baden;Karls1;;48.46'800"N;008.04'800"E;124;1024;Flughafen;1060;EDSB;125'875;1;2983;210;0;Beton;1
Karlstadt-Saupurzel;Karlst;;49.58'267"N;009.47'433"E;244;1792;Segelfluggel‰nde;1060;;123.500;1;0;0;5;Belag unbekannt;1
Kassel;Kassel;;51.24'480"N;009.22'700"E;276;1024;Flughafen;1060;EDVK;118.100;1;1500;42;1;Asphalt;1
Kaufbeuren;Kaufbr;;47.51'733"N;010.36'883"E;717;1792;Segelfluggel‰nde;1060;;122.100;1;0;0;5;Belag unbekannt;1
Kehl-Sundheim;KehlSn;;48.33'580"N;007.51'070"E;138;768;Sonderlandeplatz;1060;EDSK;122.750;1;475;210;3;Gras;1
Kell;Kell;;49.37'400"N;006.50'400"E;560;1792;Segelfluggel‰nde;1060;;123.150;1;0;0;5;Belag unbekannt;1
Kempten-Durach;Kemptn;;47.41'620"N;010.20'370"E;713;768;Sonderlandeplatz;1060;EDMK;122.000;1;610;171;3;Gras;1
Kiel-Holtenau;KielHl;;54.22'870"N;010.08'780"E;31;1024;Flughafen;1060;EDHK;119.975;1;1260;260;0;Beton;1
Kirchdorf/Inn;Kirchd;;48.14'370"N;012.58'600"E;347;768;Sonderlandeplatz;1060;EDNK;118.625;1;670;220;3;Gras;1
